"Format","AiM CSV File"
"Session","40.863°N, 77.834°W"
"Vehicle","Sabrina Carpenter"
"Racer","Gair Bear"
"Championship",""
"Comment",""
"Date","Saturday, October 18, 2025"
"Time","1:30 PM"
"Sample Rate","20"
"Duration","55"
"Segment","Session"
"Beacon Markers","55"
"Segment Times","0:55.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","External Voltage","Rear Roll","Rear Heave","Front Heave","Front Roll","InlineAcc","VerticalAcc","RollRate","PitchRate","YawRate","GPS LateralAcc","GPS InlineAcc","GPS Yaw Rate","D4 Gate Driver B","D4 RTD3 Temperat","D3 RTD2 Temperat","D2 RTD1 Temperat","D1 Control Board","D4 Torque Shudde","D3 Motor Tempera","D2 RTD5 Temperat","D1 RTD4 Temperat","D4 Delta Resolve","D3 Electrical Ou","D2 Motor Speed","D1 Motor Angle E","D4 DC Bus Curren","D1 Phase A Curre","D3 Phase C Curre","D2 Phase B Curre","D4 VBC Vq Voltag","D3 VAB Vd Voltag","D2 Output Voltag","D1 DC Bus Voltag","D4 Iq","D3 Id","D2 Flux Feedback","D1 Flux Command","D4 Reference Vol","D3 Reference Vol","D2 Reference Vol","D1 Reference Vol","D7 Direction Com","D6 Inverter Enab","D3 Relay 1 Statu","D3 Relay 3 Statu","D3 Relay 4 Statu","D5 Inverter Comm","D3 Relay 2 Statu","D4 Inverter Run","D2 Inverter Stat","D1 VSM State","D6 Inverter E 01","D4 Inverter Disc","D3 Relay 5 Statu","D6 Start Mode Ac","D3 Relay 6 Statu","D7 BMS Active","D7 BMS Torque Li","D7 Max Speed Lim","D7 Low Speed Lim","D5 Rolling Count","D1 PWM Frequency","D4 Run Fault Hi","D2 Post Fault Hi","D3 Run Fault Lo","D1 Post Fault Lo","D3 Power On Time","D1 Commanded Tor","D2 Torque Feedba","D4 Iq Command","Fast Torque Comm","Fast Torque Feed","Fast Motor Speed","Fast DC Bus Volt","Speed Mode Enabl","Speed Command","Torque Command","Torque Limit Com","D3 Data Command","D1 Parameter  01","SEG1OV","SEG1UV","PEC ERROR","SEG1OT","SEG1UT","SEG2OV","SEG2UT","SEG2OT","SEG2UV","SEG3OV","SEG3UV","SEG3OT","SEG3UT","SEG4OV","SEG4UV","SEG4OT","SEG4UT","SEG5OV","SEG5UV","SEG5OT","SEG5UT","SEG6OV","SEG6UV","SEG6OT","SEG6UT","PACKOC","IMD Fault","D1 HV Input Curr","D2 14V Master Fa","D3 HV Input Curr","D4 DTC Status","D6 14V Monitor","D8 14V Current M","BrakeSensor1","BrakeSensor2","Temperature","APPS1","APPS2","Max Voltage","Min Voltage","Max Voltage Location","Avg Voltage","Min Voltage Location","Max Temperature","Min Temperature Location","Min Temperature","Avg Temperature","Max Temperature Location","Pack Voltage","Pack Current"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","V","mm","mm","mm","mm","g","g","deg/s","deg/s","deg/s","g","g","deg/s","#","#","#","#","°C","#","°C","#","#","#","#","rpm","mm","#","#","#","#","#","#","mV","mV","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","Nm","Nm","#","Nm","#","rpm","#","#","km/h","Nm","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","bar","bar","°C","%","%","mV","mV","#","mV","#","°C","#","°C","°C","#","mV","A"

"0.000","0.2621","15","0.0000","0.0000","-6.3799","178.9343","0.0000","329.5265","23.7000","0.1800","10000.0000","40.86296523","-77.83393779","10.4720","12.9219","31.9844","34.8438","0.0564","0.1011","-1.0039","-0.1392","-0.2096","-0.5308","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.6000","0.0000","39.0000","-1000.0000","-1000.0000","131.8000","0.0000","1.0000","226.6000","0.0000","-1.0000","-0.5000","-0.4000","0.8000","0.2000","0.0000","390.1000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","104.8530","0.0000","0.7000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","24.8831","28.0409","42.0000","-0.6300","-0.6600","4.0722","4.0647","65.0000","4.0676","37.0000","29.7800","56.0000","25.4300","16.6200","26.0000","70.6600","0.0000"
"0.050","0.2621","15","0.0000","0.0000","-6.3799","178.9343","0.0000","329.5265","23.7000","0.1800","10000.0000","40.86296523","-77.83393779","10.4720","12.9219","31.9844","34.8438","0.0564","0.0954","-1.0063","-0.1392","-0.2096","-0.5308","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.6000","0.0000","39.0000","-1000.0000","-1000.0000","131.8000","0.0000","1.0000","226.6000","0.0000","-1.0000","-0.5000","-0.4000","0.8000","0.2000","0.0000","390.1000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","104.8530","0.0000","0.7000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","24.8831","28.0409","42.0000","-0.6300","-0.6600","4.0722","4.0647","65.0000","4.0676","37.0000","29.7800","56.0000","25.4300","16.6200","26.0000","70.6600","0.0000"
"0.100","0.2621","15","0.0000","0.0000","-6.3799","178.9343","0.0000","329.5265","23.7000","0.1800","10000.0000","40.86296523","-77.83393779","10.4720","12.9219","31.9844","34.8438","0.0564","0.0965","-1.0088","-0.1392","-0.2096","-0.5308","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.6000","0.0000","39.0000","-1000.0000","-1000.0000","131.8000","0.0000","1.0000","226.6000","0.0000","-1.0000","-0.5000","-0.4000","0.8000","0.2000","0.0000","390.1000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","104.8530","0.0000","0.7000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","24.8831","28.0409","42.0000","-0.6300","-0.6600","4.0722","4.0647","65.0000","4.0676","37.0000","29.7800","56.0000","25.4300","16.6200","26.0000","70.6600","0.0000"
"0.150","0.2621","15","0.0000","0.0000","-6.3799","178.9343","0.0000","329.5265","23.7000","0.1800","10000.0000","40.86296523","-77.83393779","10.4720","12.9219","31.9844","34.8438","0.0564","0.0973","-1.0039","-0.1392","-0.2096","-0.5308","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.6000","0.0000","39.0000","-1000.0000","-1000.0000","131.8000","0.0000","1.0000","226.6000","0.0000","-1.0000","-0.5000","-0.4000","0.8000","0.2000","0.0000","390.1000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","104.8530","0.0000","0.7000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","24.8831","28.0409","42.0000","-0.6300","-0.6600","4.0722","4.0647","65.0000","4.0676","37.0000","29.7800","56.0000","25.4300","16.6200","26.0000","70.6600","0.0000"
"0.200","0.2621","15","0.0000","0.0000","-6.3799","178.9343","0.0000","329.5265","23.7000","0.1800","10000.0000","40.86296523","-77.83393779","10.4720","12.9219","31.9844","34.8438","0.0564","0.1022","-0.9995","-0.1392","-0.2096","-0.5308","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.6000","0.0000","39.0000","-1000.0000","-1000.0000","131.8000","0.0000","1.0000","226.6000","0.0000","-1.0000","-0.5000","-0.4000","0.8000","0.2000","0.0000","390.1000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","104.8530","0.0000","0.7000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","24.8831","28.0409","42.0000","-0.6300","-0.6600","4.0722","4.0647","65.0000","4.0676","37.0000","29.7800","56.0000","25.4300","16.6200","26.0000","70.6600","0.0000"
"0.250","0.2621","15","0.0000","0.0000","-6.3799","178.9343","0.0000","329.5265","23.7000","0.1800","10000.0000","40.86296523","-77.83393779","10.4720","12.9219","31.9844","34.8438","0.0564","0.1099","-1.0044","-0.1346","-0.2745","-0.5303","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.6000","0.0000","39.0000","-1000.0000","-1000.0000","131.8000","0.0000","1.0000","226.6000","0.0000","-1.0000","-0.5000","-0.4000","0.8000","0.2000","0.0000","390.1000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","104.8530","0.0000","0.7000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","24.8831","28.0409","42.0000","-0.6300","-0.6600","4.0722","4.0647","65.0000","4.0676","37.0000","29.7800","56.0000","25.4300","16.6200","26.0000","70.6600","0.0000"
"0.300","0.2012","15","0.0000","0.0000","-12.4343","111.2842","0.0000","329.5311","23.6650","0.1765","10000.0000","40.86296528","-77.83393779","10.4720","12.9250","31.9781","34.8438","0.0520","0.1126","-1.0078","-0.0975","-0.2448","-0.5623","0.0000","0.0000","0.0000","34.7922","-1000.0000","206.3000","204.9000","33.6000","0.0000","38.9735","-1000.0000","-1000.0000","131.8000","0.0000","1.0000","226.6000","0.0000","-1.0000","-0.5000","-0.4000","0.8000","0.2000","0.0000","390.1000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","104.8530","0.0000","0.7000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","24.8831","28.0409","42.0000","-0.6300","-0.6600","4.0722","4.0647","65.0000","4.0676","37.0000","29.7800","56.0000","25.4300","16.6200","26.0000","70.6600","0.0000"
"0.350","0.1143","15","0.0000","0.0000","-21.0834","14.6412","0.0000","329.5376","23.6150","0.1715","10000.0000","40.86296534","-77.83393779","10.4720","12.9422","31.9500","34.8250","0.0496","0.1080","-1.0063","-0.0924","-0.1988","-0.5292","0.0000","0.0000","0.0000","34.7431","-1000.0000","206.3000","204.9000","33.6000","0.0000","38.8265","-1000.0000","-1000.0000","131.8000","0.0000","1.0000","226.6000","0.0000","-1.0000","-0.5000","-0.4000","0.8000","0.2000","0.0000","390.1000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","104.8530","0.0000","0.7000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","24.8831","28.0409","42.0000","-0.6300","-0.6600","4.0722","4.0647","65.0000","4.0676","37.0000","29.7800","56.0000","25.4300","16.6200","26.0000","70.6600","0.0000"
