Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,External Voltage,Rear Roll,Rear Heave,Front Heave,Front Roll,InlineAcc,VerticalAcc,RollRate,PitchRate,YawRate,GPS LateralAcc,GPS InlineAcc,GPS Yaw Rate,D4 Gate Driver B,D4 RTD3 Temperat,D3 RTD2 Temperat,D2 RTD1 Temperat,D1 Control Board,D4 Torque Shudde,D3 Motor Tempera,D2 RTD5 Temperat,D1 RTD4 Temperat,D4 Delta Resolve,D3 Electrical Ou,D2 Motor Speed,D1 Motor Angle E,D4 DC Bus Curren,D1 Phase A Curre,D3 Phase C Curre,D2 Phase B Curre,D4 VBC Vq Voltag,D3 VAB Vd Voltag,D2 Output Voltag,D1 DC Bus Voltag,D4 Iq,D3 Id,D2 Flux Feedback,D1 Flux Command,D4 Reference Vol,D3 Reference Vol,D2 Reference Vol,D1 Reference Vol,D7 Direction Com,D6 Inverter Enab,D3 Relay 1 Statu,D3 Relay 3 Statu,D3 Relay 4 Statu,D5 Inverter Comm,D3 Relay 2 Statu,D4 Inverter Run,D2 Inverter Stat,D1 VSM State,D6 Inverter E 01,D4 Inverter Disc,D3 Relay 5 Statu,D6 Start Mode Ac,D3 Relay 6 Statu,D7 BMS Active,D7 BMS Torque Li,D7 Max Speed Lim,D7 Low Speed Lim,D5 Rolling Count,D1 PWM Frequency,D4 Run Fault Hi,D2 Post Fault Hi,D3 Run Fault Lo,D1 Post Fault Lo,D3 Power On Time,D1 Commanded Tor,D2 Torque Feedba,D4 Iq Command,Fast Torque Comm,Fast Torque Feed,Fast Motor Speed,Fast DC Bus Volt,Speed Mode Enabl,Speed Command,Torque Command,Torque Limit Com,D3 Data Command,D1 Parameter  01,SEG1OV,SEG1UV,PEC ERROR,SEG1OT,SEG1UT,SEG2OV,SEG2UT,SEG2OT,SEG2UV,SEG3OV,SEG3UV,SEG3OT,SEG3UT,SEG4OV,SEG4UV,SEG4OT,SEG4UT,SEG5OV,SEG5UV,SEG5OT,SEG5UT,SEG6OV,SEG6UV,SEG6OT,SEG6UT,PACKOC,IMD Fault,D1 HV Input Curr,D2 14V Master Fa,D3 HV Input Curr,D4 DTC Status,D6 14V Monitor,D8 14V Current M,BrakeSensor1,BrakeSensor2,Temperature,APPS1,APPS2,Max Voltage,Min Voltage,Max Voltage Location,Avg Voltage,Min Voltage Location,Max Temperature,Min Temperature Location,Min Temperature,Avg Temperature,Max Temperature Location,Pack Voltage,Pack Current
0,0.2621,15,0,0,-6.3799,178.9343,0,329.5265,23.7,0.18,10000,40.86296523,-77.83393779,10.472,12.9219,31.9844,34.8438,0.0564,0.1011,-1.0039,-0.1392,-0.2096,-0.5308,0,0,0,34.8,-1000,206.3,204.9,33.6,0,39,-1000,-1000,131.8,0,1,226.6,0,-1,-0.5,-0.4,0.8,0.2,0,390.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.853,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8831,28.0409,42,-0.63,-0.66,4.0722,4.0647,65,4.0676,37,29.78,56,25.43,16.62,26,70.66,0
0.05,0.2621,15,0,0,-6.3799,178.9343,0,329.5265,23.7,0.18,10000,40.86296523,-77.83393779,10.472,12.9219,31.9844,34.8438,0.0564,0.0954,-1.0063,-0.1392,-0.2096,-0.5308,0,0,0,34.8,-1000,206.3,204.9,33.6,0,39,-1000,-1000,131.8,0,1,226.6,0,-1,-0.5,-0.4,0.8,0.2,0,390.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.853,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8831,28.0409,42,-0.63,-0.66,4.0722,4.0647,65,4.0676,37,29.78,56,25.43,16.62,26,70.66,0
0.1,0.2621,15,0,0,-6.3799,178.9343,0,329.5265,23.7,0.18,10000,40.86296523,-77.83393779,10.472,12.9219,31.9844,34.8438,0.0564,0.0965,-1.0088,-0.1392,-0.2096,-0.5308,0,0,0,34.8,-1000,206.3,204.9,33.6,0,39,-1000,-1000,131.8,0,1,226.6,0,-1,-0.5,-0.4,0.8,0.2,0,390.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.853,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8831,28.0409,42,-0.63,-0.66,4.0722,4.0647,65,4.0676,37,29.78,56,25.43,16.62,26,70.66,0
0.15,0.2621,15,0,0,-6.3799,178.9343,0,329.5265,23.7,0.18,10000,40.86296523,-77.83393779,10.472,12.9219,31.9844,34.8438,0.0564,0.0973,-1.0039,-0.1392,-0.2096,-0.5308,0,0,0,34.8,-1000,206.3,204.9,33.6,0,39,-1000,-1000,131.8,0,1,226.6,0,-1,-0.5,-0.4,0.8,0.2,0,390.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.853,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8831,28.0409,42,-0.63,-0.66,4.0722,4.0647,65,4.0676,37,29.78,56,25.43,16.62,26,70.66,0
0.2,0.2621,15,0,0,-6.3799,178.9343,0,329.5265,23.7,0.18,10000,40.86296523,-77.83393779,10.472,12.9219,31.9844,34.8438,0.0564,0.1022,-0.9995,-0.1392,-0.2096,-0.5308,0,0,0,34.8,-1000,206.3,204.9,33.6,0,39,-1000,-1000,131.8,0,1,226.6,0,-1,-0.5,-0.4,0.8,0.2,0,390.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.853,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8831,28.0409,42,-0.63,-0.66,4.0722,4.0647,65,4.0676,37,29.78,56,25.43,16.62,26,70.66,0
0.25,0.2621,15,0,0,-6.3799,178.9343,0,329.5265,23.7,0.18,10000,40.86296523,-77.83393779,10.472,12.9219,31.9844,34.8438,0.0564,0.1099,-1.0044,-0.1346,-0.2745,-0.5303,0,0,0,34.8,-1000,206.3,204.9,33.6,0,39,-1000,-1000,131.8,0,1,226.6,0,-1,-0.5,-0.4,0.8,0.2,0,390.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.853,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8831,28.0409,42,-0.63,-0.66,4.0722,4.0647,65,4.0676,37,29.78,56,25.43,16.62,26,70.66,0
0.3,0.2012,15,0,0,-12.4343,111.2842,0,329.5311,23.665,0.1765,10000,40.86296528,-77.83393779,10.472,12.925,31.9781,34.8438,0.052,0.1126,-1.0078,-0.0975,-0.2448,-0.5623,0,0,0,34.7922,-1000,206.3,204.9,33.6,0,38.9735,-1000,-1000,131.8,0,1,226.6,0,-1,-0.5,-0.4,0.8,0.2,0,390.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.853,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8831,28.0409,42,-0.63,-0.66,4.0722,4.0647,65,4.0676,37,29.78,56,25.43,16.62,26,70.66,0
0.35,0.1143,15,0,0,-21.0834,14.6412,0,329.5376,23.615,0.1715,10000,40.86296534,-77.83393779,10.472,12.9422,31.95,34.825,0.0496,0.108,-1.0063,-0.0924,-0.1988,-0.5292,0,0,0,34.7431,-1000,206.3,204.9,33.6,0,38.8265,-1000,-1000,131.8,0,1,226.6,0,-1,-0.5,-0.4,0.8,0.2,0,390.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.853,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8831,28.0409,42,-0.63,-0.66,4.0722,4.0647,65,4.0676,37,29.78,56,25.43,16.62,26,70.66,0
0.4,0.1045,15,0,0,-21.0802,-50.9594,0,329.5413,23.6,0.1735,10000,40.86296539,-77.83393783,10.472,12.9234,31.9969,34.8438,0.0527,0.0986,-1.0039,-0.1198,-0.1912,-0.505,0,0,0,34.706,-1000,206.3,204.9,33.6,0,38.7,-1000,-1000,131.6875,0,0.7188,227.7812,0,-1.0281,-0.6406,-0.4844,0.6031,0.3406,0,390.0438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8807,0,0.7577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4783,28.6633,42,-0.63,-0.66,4.0722,4.0647,65,4.0676,37,29.78,56,25.43,16.62,26,70.66,0
0.45,0.1277,15,0,0,-17.3688,-103.2562,0,329.5438,23.6,0.1785,10000,40.86296543,-77.83393789,10.472,12.9094,31.975,34.8375,0.0401,0.0934,-1.0039,-0.1275,-0.2236,-0.5611,0,0,0,34.756,-1000,206.3,204.9,33.6,0,38.7,-1000,-1000,131.4792,0,0.1979,229.9688,0,-1.0802,-0.901,-0.6406,0.2385,0.601,0,389.9396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.9302,0,0.8608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6685,29.9079,42,-0.63,-0.66,4.0722,4.0647,65,4.0676,37,29.78,56,25.43,16.62,26,70.66,0
